-0.261521  0.335144  0.230239 0.0553581  0.424754 0.0319259  0.454684 -0.177428  0.892678   2.23291	0
-0.261521  0.335144  0.230239 0.0553581  0.424754 0.0319259  0.454684 -0.177428  0.892678   2.23291	0
  0.937001    1.02815 -0.0101027 -0.0416577   0.388924  0.0677554   0.476953  -0.199697   0.587346   0.389395	-108.253
  0.937001    1.02815 -0.0101027 -0.0416577   0.388924  0.0677554   0.476953  -0.199697   0.587346   0.389395	-108.253
  0.954908   0.980683 -0.0157709 -0.0260867   0.345985   0.110695    0.48498  -0.207724  0.0362929  0.0572012	-57.1091
  0.954908   0.980683 -0.0157709 -0.0260867   0.345985   0.110695    0.48498  -0.207724  0.0362929  0.0572012	-57.1091
  0.963598   0.960604 -0.0186199 -0.0188785   0.290326   0.166354   0.511042  -0.233786  0.0348768  0.0629923	17.439
  0.963598   0.960604 -0.0186199 -0.0188785   0.290326   0.166354   0.511042  -0.233786  0.0348768  0.0629923	17.439
  0.981846    0.92412 -0.0245901  -0.005401   0.219178   0.237501   0.544817  -0.267561   0.033593  0.0664932	18.0844
  0.981846    0.92412 -0.0245901  -0.005401   0.219178   0.237501   0.544817  -0.267561   0.033593  0.0664932	18.0844
   1.01214   0.873009 -0.0344569  0.0131493   0.137822   0.318858   0.583745  -0.306489  0.0317302  0.0684827	19.4784
   1.01214   0.873009 -0.0344569  0.0131493   0.137822   0.318858   0.583745  -0.306489  0.0317302  0.0684827	19.4784
  1.05605  0.810272 -0.048603 0.0345512 0.0531435  0.403536  0.623994 -0.346738  0.028835 0.0668922	22.5339
  1.05605  0.810272 -0.048603 0.0345512 0.0531435  0.403536  0.623994 -0.346738  0.028835 0.0668922	22.5339
   1.10974   0.741182 -0.0654236  0.0554085 -0.0171037   0.473783   0.654648  -0.377392  0.0246452  0.0591735	28.3782
   1.10974   0.741182 -0.0654236  0.0554085 -0.0171037   0.473783   0.654648  -0.377392  0.0246452  0.0591735	28.3782
