 -0.151045   -0.57209   0.427914  0.0710199   0.347697   0.337725  0.0664158 -0.0629299   0.897456    2.43521	-578.108
 -0.151045   -0.57209   0.427914  0.0710199   0.347697   0.337725  0.0664158 -0.0629299   0.897456    2.43521	-578.108
 0.484048   0.45025  0.406902  0.473211  0.599145 0.0862774  0.132726  -0.12924  0.601668   2.19744	-396.453
 0.484048   0.45025  0.406902  0.473211  0.599145 0.0862774  0.132726  -0.12924  0.601668   2.19744	-396.453
 0.487807  0.426762  0.408044  0.491482  0.863426 -0.178003  0.119119 -0.115633  0.221571  0.248492	-270.996
 0.487807  0.426762  0.408044  0.491482  0.863426 -0.178003  0.119119 -0.115633  0.221571  0.248492	-270.996
 0.497963  0.406338  0.394377  0.553458  0.826561 -0.141138  0.155214 -0.151728  0.227617  0.214792	-266.265
 0.497963  0.406338  0.394377  0.553458  0.826561 -0.141138  0.155214 -0.151728  0.227617  0.214792	-266.265
  0.513443   0.390827   0.377126   0.642785   0.742914 -0.0574916     0.2294  -0.225914   0.229839   0.173996	-255.544
  0.513443   0.390827   0.377126   0.642785   0.742914 -0.0574916     0.2294  -0.225914   0.229839   0.173996	-255.544
 0.540769  0.386472  0.354494  0.745062  0.594876 0.0905469  0.335619 -0.332133  0.227011  0.130535	-237.201
 0.540769  0.386472  0.354494  0.745062  0.594876 0.0905469  0.335619 -0.332133  0.227011  0.130535	-237.201
 0.586609  0.395423  0.323047   0.82293  0.399569  0.285853  0.440756  -0.43727   0.21975 0.0967009	-216.451
 0.586609  0.395423  0.323047   0.82293  0.399569  0.285853  0.440756  -0.43727   0.21975 0.0967009	-216.451
  0.64617   0.40745  0.285256  0.865186  0.167149  0.518274  0.546244 -0.542758  0.210117 0.0786462	-199.062
  0.64617   0.40745  0.285256  0.865186  0.167149  0.518274  0.546244 -0.542758  0.210117 0.0786462	-199.062
  0.719797   0.417138   0.242775    0.88293 -0.0806133   0.766036   0.656669  -0.653183    0.19972  0.0723801	-185.972
  0.719797   0.417138   0.242775    0.88293 -0.0806133   0.766036   0.656669  -0.653183    0.19972  0.0723801	-185.972
 0.812618   0.42345  0.194222  0.886536 -0.341495   1.02692  0.780176  -0.77669  0.189063  0.072349	-174.928
 0.812618   0.42345  0.194222  0.886536 -0.341495   1.02692  0.780176  -0.77669  0.189063  0.072349	-174.928
 0.936445  0.426785  0.134429  0.881848 -0.630314   1.31574  0.926449 -0.922963  0.178103 0.0754272	-163.79
 0.936445  0.426785  0.134429  0.881848 -0.630314   1.31574  0.926449 -0.922963  0.178103 0.0754272	-163.79
  1.12261  0.426836 0.0495641  0.872249 -0.979492   1.66491   1.11422  -1.11074   0.16397 0.0808183	-150.137
  1.12261  0.426836 0.0495641  0.872249 -0.979492   1.66491   1.11422  -1.11074   0.16397 0.0808183	-150.137
    1.3964   0.423503 -0.0704374   0.860254   -1.41365    2.09907    1.35728   -1.35379   0.145452  0.0860929	-133.863
    1.3964   0.423503 -0.0704374   0.860254   -1.41365    2.09907    1.35728   -1.35379   0.145452  0.0860929	-133.863
